event,timestamp_utc,run_id,dataset,experiment,model,seed,git_sha,git_dirty,split_sha256_train,split_sha256_val,split_sha256_test,epochs_run,best_epoch,val_highest_snr,val_peak_accuracy_highest_snr,val_overall_accuracy,test_highest_snr,test_peak_accuracy_highest_snr,test_overall_accuracy,checkpoint_sha256,run_dir
train,2026-09-25T17:33:52+00:00,20260925-172527_exp001_cldnn_baseline_s0_ebef58e,RML2016.10a,exp001_cldnn_baseline,cldnn_v1,0,ebef58e0571b845b1d12ec35291788a177d4a2a3,False,450d2a55108953559daca76673c7298b96fa39fb6a96ae6e170c40914cf3820c,ae9024e1de0c770a6b4cda6c9f8e495b6802126631d0f0d47c1102ba99b29259,932f79d55bd1859d0705c275e4bde908abfe37248335cb85526710847b15f795,43,23,18,0.9272727272727272,0.6228181818181818,,,,681e96ff4bf52cd6692ba1cdd2d001ebe6b76aa4e7596d780e4c75770df74365,experiments/rml2016.10a/20260925-172527_exp001_cldnn_baseline_s0_ebef58e
final_test,2026-09-25T17:34:36+00:00,20260925-172527_exp001_cldnn_baseline_s0_ebef58e,RML2016.10a,exp001_cldnn_baseline,cldnn_v1,0,ebef58e0571b845b1d12ec35291788a177d4a2a3,False,450d2a55108953559daca76673c7298b96fa39fb6a96ae6e170c40914cf3820c,ae9024e1de0c770a6b4cda6c9f8e495b6802126631d0f0d47c1102ba99b29259,932f79d55bd1859d0705c275e4bde908abfe37248335cb85526710847b15f795,,23,,,,18,0.9290909090909091,0.6236818181818182,681e96ff4bf52cd6692ba1cdd2d001ebe6b76aa4e7596d780e4c75770df74365,experiments/rml2016.10a/20260925-172527_exp001_cldnn_baseline_s0_ebef58e
