epoch,lr,train_loss,train_accuracy,val_loss,val_overall_accuracy,val_peak_accuracy_highest_snr,val_highest_snr,val_accuracy_high_snr,is_best,epoch_seconds
1,4.85201358563804e-07,1.72418577147016,0.3592612809315866,1.284647822380066,0.49563636363636365,0.7390909090909091,18,0.7307272727272728,1,13.118
2,0.00033381853469189714,1.273358518553266,0.49806677583697234,1.234747290611267,0.5138636363636364,0.7472727272727273,18,0.7398181818181818,1,10.985
3,0.0006671518680252305,1.2053833896242723,0.5330808770014556,1.1663856506347656,0.5498636363636363,0.8090909090909091,18,0.8070909090909091,1,11.1
4,0.001,1.1539961413698598,0.5564672034206696,1.128731608390808,0.5689090909090909,0.8372727272727273,18,0.8345454545454546,1,11.193
5,0.00099974040667753,1.1248553635598617,0.5751512463609898,1.1029260158538818,0.5920454545454545,0.8772727272727273,18,0.8769090909090909,1,11.209
6,0.0009989618989876673,1.0947383786219522,0.5952226619359534,1.0881016254425049,0.6001363636363637,0.8881818181818182,18,0.8903636363636364,1,11.308
7,0.0009976652934774739,1.0760801890010918,0.6059747998544396,1.0812735557556152,0.6038181818181818,0.8818181818181818,18,0.8927272727272727,0,11.378
8,0.0009958519501070805,1.063951339610626,0.6110068686317321,1.064363956451416,0.6094090909090909,0.9063636363636364,18,0.9074545454545454,1,11.561
9,0.000993523770823276,1.053121730576783,0.6160275655021834,1.0564557313919067,0.6138636363636364,0.9045454545454545,18,0.9083636363636364,0,11.701
10,0.0009906831975646283,1.0425482559759371,0.6198996997816594,1.0594524145126343,0.6154090909090909,0.9118181818181819,18,0.9094545454545454,1,11.943
11,0.0009873332097002285,1.0346759646219978,0.6241414210334789,1.0563273429870605,0.6124545454545455,0.9081818181818182,18,0.9105454545454545,0,12.105
12,0.0009834773209047426,1.0253289679425945,0.6268251910480349,1.0583590269088745,0.6164545454545455,0.9190909090909091,18,0.9183636363636364,1,11.97
13,0.0009791195754730536,1.0175114038903292,0.6313284661572053,1.050875186920166,0.6176818181818182,0.9154545454545454,18,0.9127272727272727,0,11.794
14,0.0009742645440783538,1.009148965582924,0.6345694596069869,1.0403999090194702,0.6222727272727273,0.9163636363636364,18,0.9189090909090909,0,11.683
15,0.0009689173189781401,1.0009722980349345,0.6376683042212519,1.0518852472305298,0.6180909090909091,0.9154545454545454,18,0.9210909090909091,0,11.679
16,0.0009630835086731387,0.9945987884654749,0.6403407023289666,1.049100637435913,0.6231363636363636,0.9245454545454546,18,0.9254545454545454,1,11.803
17,0.0009567692320247624,0.9864751602017376,0.6429391830422125,1.058462142944336,0.617909090909091,0.9172727272727272,18,0.9149090909090909,0,11.819
18,0.0009499811118372708,0.9779238416291394,0.646373498908297,1.0566235780715942,0.6215454545454545,0.9181818181818182,18,0.9194545454545454,0,11.854
19,0.0009427262679113618,0.9728785352415393,0.6491368722707423,1.054382562637329,0.6241818181818182,0.9227272727272727,18,0.9210909090909091,0,11.862
20,0.0009350123095764848,0.9631065135439411,0.6522982623726347,1.057165503501892,0.6228636363636364,0.9209090909090909,18,0.9243636363636364,0,11.816
21,0.0009268473277097048,0.9557042906204513,0.6553629912663755,1.066603660583496,0.6204545454545455,0.9209090909090909,18,0.9236363636363636,0,11.759
22,0.0009182398862494892,0.9490726920715066,0.6577965793304221,1.0677249431610107,0.6232727272727273,0.9236363636363636,18,0.9225454545454546,0,11.775
23,0.0009091990132133194,0.9401854580319778,0.6613104985443959,1.0691455602645874,0.6228181818181818,0.9272727272727272,18,0.9267272727272727,1,11.795
24,0.0008997341912285467,0.9306642401860444,0.6649949963609898,1.1037811040878296,0.6216363636363637,0.9136363636363637,18,0.9194545454545454,0,11.738
25,0.0008898553475864265,0.9242481748089519,0.6682871633915575,1.0917316675186157,0.6215454545454545,0.9209090909090909,18,0.9205454545454546,0,11.804
26,0.0008795728438297591,0.9149626575009098,0.6710164210334789,1.1023197174072266,0.6195454545454545,0.92,18,0.9192727272727272,0,11.738
27,0.0008688974648850642,0.9066696944368632,0.6741436954148472,1.1015337705612183,0.6225,0.9254545454545454,18,0.9229090909090909,0,11.806
28,0.0008578404077506805,0.897528724725937,0.6789938136826783,1.1389387845993042,0.6183636363636363,0.9172727272727272,18,0.9158181818181819,0,11.721
29,0.0008464132697526618,0.8900371257221161,0.6814672034206696,1.115719199180603,0.6215,0.9236363636363636,18,0.9241818181818182,0,11.729
30,0.0008346280363807822,0.8794092791916849,0.6847593704512372,1.1438219547271729,0.6191818181818182,0.9209090909090909,18,0.9185454545454546,0,11.705
31,0.0008224970687174143,0.8703722558167304,0.6881254548762736,1.159517765045166,0.6204545454545455,0.9190909090909091,18,0.9198181818181819,0,11.771
32,0.0008100330904724591,0.8613992882607806,0.6918383824599709,1.1772918701171875,0.6173636363636363,0.9181818181818182,18,0.9167272727272727,0,11.787
33,0.0007972491746379318,0.8550798840918395,0.694573326055313,1.1920039653778076,0.6165909090909091,0.9172727272727272,18,0.9149090909090909,0,11.825
34,0.0007841587297761987,0.8441680064194415,0.6983431131732168,1.1935118436813354,0.6170454545454546,0.9018181818181819,18,0.9118181818181819,0,11.806
35,0.000770775485956247,0.8315076092271652,0.7024483715429404,1.2197338342666626,0.6163181818181818,0.9154545454545454,18,0.9169090909090909,0,11.812
36,0.0007571134803527377,0.8263312593818232,0.7041541575691412,1.218504548072815,0.6178636363636364,0.9127272727272727,18,0.9132727272727272,0,11.755
37,0.0007431870425229486,0.815606485114174,0.7082309861717613,1.2284672260284424,0.6163636363636363,0.9090909090909091,18,0.914,0,11.758
38,0.0007290107793770468,0.8057052856622998,0.711761963245997,1.2338441610336304,0.6166363636363636,0.9190909090909091,18,0.9163636363636364,0,11.791
39,0.0007145995598574578,0.7952334474788483,0.7156284115720524,1.2900042533874512,0.6118636363636364,0.9063636363636364,18,0.9078181818181819,0,11.77
40,0.0006999684993433972,0.7857177379002911,0.7188864628820961,1.3079880475997925,0.6125,0.9045454545454545,18,0.9134545454545454,0,11.722
41,0.0006851329437969264,0.7757183669088883,0.7222070596797671,1.3111979961395264,0.6113181818181819,0.9090909090909091,18,0.9114545454545454,0,11.733
42,0.0006701084536671562,0.7673246558576692,0.7256470614992722,1.3245142698287964,0.6125909090909091,0.9054545454545454,18,0.9105454545454545,0,11.691
43,0.0006549107875694856,0.758703328983579,0.7280181040756915,1.3290005922317505,0.6123636363636363,0.9118181818181819,18,0.9136363636363637,0,11.73
